rank,score,regime,size,seed,cluster_count_min,cluster_count_max,cluster_size_min,cluster_size_max,removed_min,removed_max,open_cells,optimal_moves,optimal_overlap,snake_moves,spiral_moves,heuristic_gap,turn_count,turn_density,move_entropy,spatial_turn_entropy,bridges,articulations,dead_ends,choice_points,alt_optima_fraction,alt_optima_probed
148,0.5321,single_mass,10,49,1,2,25,60,0.25,0.35,74,74,1,106,90,0.216,49,0.662,1.986,2.816,1,1,1,60,,0
149,0.5319,medium_clusters,14,2,3,4,6,12,0.3,0.4,178,180,3,199,207,0.106,101,0.561,1.990,3.129,6,7,2,163,,0
150,0.5310,default,10,43,3,5,5,10,0.2,0.4,79,81,3,107,93,0.148,51,0.630,1.980,3.034,7,8,2,61,,0
151,0.5297,medium_clusters,14,43,3,4,6,12,0.3,0.4,182,183,2,236,203,0.109,101,0.552,1.980,3.153,3,3,2,171,,0
152,0.5283,single_mass,8,19,1,2,25,60,0.25,0.35,45,47,3,69,57,0.213,28,0.596,1.964,2.924,13,13,2,26,,0
153,0.5269,dispersed,12,31,12,25,1,2,0.18,0.28,127,129,3,187,148,0.147,76,0.589,1.983,3.139,1,1,1,107,,0
154,0.5257,single_mass,12,49,1,2,25,60,0.25,0.35,107,109,3,147,126,0.156,69,0.633,1.982,3.012,3,3,2,93,,0
155,0.5254,single_mass,12,2,1,2,25,60,0.25,0.35,122,121,0,142,178,0.174,64,0.529,1.998,3.076,14,15,2,101,,0
156,0.5240,medium_clusters,10,28,3,4,6,12,0.3,0.4,83,84,2,101,99,0.179,51,0.607,1.978,3.078,1,2,1,71,,0
157,0.5240,single_mass,14,44,1,2,25,60,0.25,0.35,178,179,2,196,193,0.078,109,0.609,1.991,3.135,2,2,2,170,,0
158,0.5239,medium_clusters,10,22,3,4,6,12,0.3,0.4,83,85,3,123,97,0.141,55,0.647,1.984,3.028,4,4,2,70,,0
159,0.5224,medium_clusters,12,12,3,4,6,12,0.3,0.4,127,129,3,179,146,0.132,71,0.550,1.919,3.135,5,5,3,112,,0
160,0.5214,default,12,12,4,6,6,12,0.2,0.4,113,114,2,145,135,0.184,65,0.570,1.970,3.073,3,3,1,89,,0
